marque,nom,nb_plis,poids_g,epaisseur_mm,composition,pli1,pli2,pli3,pli4,pli5,pli6,pli7
Butterfly,Garaydia ALC,5,85,6.9,Hinoki-ALC-Kiri-ALC-Hinoki,Hinoki,ALC,Kiri,ALC,Hinoki,,
Butterfly,Iolite,5,80,0.0,Hinoki-ALC-Kiri-ALC-Hinoki,Hinoki,ALC,Kiri,ALC,Hinoki,,
Butterfly,Supreme Speed,5,80,6.9,Hinoki-ALC-Kiri-ALC-Hinoki,Hinoki,ALC,Kiri,ALC,Hinoki,,
Butterfly,Apolonia ZLC,7,90,5.7,Limba-Limba-ZLC-Ayous-ZLC-Limba-Limba,Limba,Limba,ZLC,Ayous,ZLC,Limba,Limba
Butterfly,Ovtcharov Innerforce ALC,7,91,6.2,Limba-Limba-ALC-Ayous-ALC-Limba-Limba,Limba,Limba,ALC,Ayous,ALC,Limba,Limba
Butterfly,SK Carbon,5,79,5.2,Koto-T5000-Kiri-T5000-Koto,Koto,T5000,Kiri,T5000,Koto,,
Butterfly,SK7 Classic,7,90,6.8,Limba-Ayous-Ayous-Ayous-Ayous-Ayous-Limba,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba
Stiga,Allround Classic,5,85,5.1,Limba-Ayous-Ayous-Ayous-Limba,Limba,Ayous,Ayous,Ayous,Limba,,
Stiga,Allround Evolution,5,85,0,Limba-Ayous-Ayous-Ayous-Limba,Limba,Ayous,Ayous,Ayous,Limba,,
Stiga,Clipper,7,90,6.6,Limba-Ayous-Ayous-Ayous-Ayous-Ayous-Limba,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba
Stiga,Carbonado 145,7,78,5.8,Limba-TeXtreme®-Ayous-Ayous-Ayous-TeXtreme®-Limba,Limba,TeXtreme®,Ayous,Ayous,Ayous,TeXtreme®,Limba
Stiga,Carbonado 190,7,86,5.8,Limba-TeXtreme®-Ayous-Ayous-Ayous-TeXtreme®-Limba,Limba,TeXtreme®,Ayous,Ayous,Ayous,TeXtreme®,Limba
Stiga,Dynasty Carbon,7,89,5.8,Koto-TeXtreme+®-Ayous-Ayous-Ayous-TeXtreme+®-Koto,Koto,TeXtreme+®,Ayous,Ayous,Ayous,TeXtreme+®,Koto
Stiga,Infinity VPS V,5,85,6.0,Limba-Epicéa-Ayous-Epicéa-Limba,Limba,Epicéa,Ayous,Epicéa,Limba,,
Stiga,Offensive Classic WRB,5,80,5.2,Limba-Epicéa-Ayous-Epicéa-Limba,Limba,Epicéa,Ayous,Epicéa,Limba,,
Stiga,Ebenholz NCT V,5,92,5.5,Ebène-Epicéa-Ayous-Epicéa-Ebène,Ebène,Epicéa,Ayous,Epicéa,Ebène,,
Stiga,Emerald VPS V,5,92,6.0,Ebène-Epicéa-Ayous-Epicéa-Ebène,Ebène,Epicéa,Ayous,Epicéa,Ebène,,
Stiga,Eternity VPS V,5,92,6.3,Limba-Epicéa-Ayous-Epicéa-Limba,Limba,Epicéa,Ayous,Epicéa,Limba,,
Stiga,Legacy Carbon,7,89,0,Limba-Energy Carbon 12k-Pin-Ayous-Pin-Energy Carbon 12k-Limba,Limba,Energy Carbon 12k,Pin,Ayous,Pin,Energy Carbon 12k,Limba
Stiga,Rosewood NCT VII,7,97,6.9,Palissandre-Ayous-Ayous-Ayous-Ayous-Ayous-Palissandre,Palissandre,Ayous,Ayous,Ayous,Ayous,Ayous,Palissandre
Stiga,Allround Classic Carbon,7,85,0,Limba-Ayous-Carbone-Ayous-Carbone-Ayous-Limba,Limba,Ayous,Carbone,Ayous,Carbone,Ayous,Limba
Stiga,Nostalgic VII,7,90,6.3,Wenge-Epicéa-Ayous-Ayous-Ayous-Epicéa-Wenge,Wenge,Epicéa,Ayous,Ayous,Ayous,Epicéa,Wenge
Stiga,Intensity NCT,5,85,0,Noyer-Epicéa-Ayous-Epicéa-Noyer,Noyer,Epicéa,Ayous,Epicéa,Noyer,,
Donic,Waldner Allplay,5,85,0,Limba-Limba-Ayous-Limba-Limba,Limba,Limba,Ayous,Limba,Limba,,
Donic,Waldner Senso Carbon,7,85,0,Limba-Aniégré-Carbone-Ayous-Carbone-Aniégré-Limba,Limba,Aniégré,Carbone,Ayous,Carbone,Aniégré,Limba
Donic,Waldner Exclusive AR+,5,85,5.7,Limba-Limba-Ayous-Limba-Limba,Limba,Limba,Ayous,Limba,Limba,,
Donic,Waldner Legend Carbon,5,83,6.3,Hinoki-Carbone-Kiri-Carbone-Hinoki,Hinoki,Carbone,Kiri,Carbone,Hinoki,,
Donic,Waldner Carbopower,5,85,6.2,Hinoki-ALC-Kiri-ALC-Hinoki,Hinoki,ALC,Kiri,ALC,Hinoki,,
Donic,Baum Esprit,7,88,6.0,Koto-Aramide Carbone-Ayous-Kiri-Ayous-Aramide Carbone-Koto,Koto,Aramide Carbone,Ayous,Kiri,Ayous,Aramide Carbone,Koto
Donic,Appelgren Allplay,5,80,0,Limba-Limba-Ayous-Limba-Limba,Limba,Limba,Ayous,Limba,Limba,,
Donic,Persson Powerplay,7,90,5.9,Koto-Feuille anti-vibration-Ayous-Ayous-Ayous-Feuille anti-vibration-Koto,Koto,Feuille anti-vibration,Ayous,Ayous,Ayous,Feuille anti-vibration,Koto
Donic,Persson Seven,7,90,6.3,Limba-Ayous-Ayous-Ayous-Ayous-Ayous-Limba,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba
Donic,Original True Carbon,7,90,5.3,Koto-Carbone Kevlar™-Ayous-Kiri-Ayous-Carbone Kevlar™-Koto,Koto,Carbone Kevlar™,Ayous,Kiri,Ayous,Carbone Kevlar™,Koto
Donic,Crest OFF,9,88,5.9,Limba-ZLC-Carbone-Limba-Kiri-Limba-Carbone,Limba,ZLC,Carbone,Limba,Kiri,Limba,Carbone
Donic,Burn OFF,5,90,0,Acajou-Awan-Kiri-Awan-Acajou,Acajou,Awan,Kiri,Awan,Acajou,,
Donic,Ovtcharov Carbospeed,5,87,6.8,Hinoki-Carbone-Kiri-Carbone-Hinoki,Hinoki,Carbone,Kiri,Carbone,Hinoki,,
Donic,Zhou Yu Three,7,85,5.7,Koto-Aramide Carbone-Limba-Kiri-Limba-Aramide Carbone-Koto,Koto,Aramide Carbone,Limba,Kiri,Limba,Aramide Carbone,Koto
Donic,Persson Exclusive OFF,5,85,5.9,Limba-Koto-Kiri-Koto-Limba,Limba,Koto,Kiri,Koto,Limba,,
Tibhar,Samsonov Force Pro Black Edition,7,88,6.7,Limba-Ayous-Ayous-Ayous-Ayous-Ayous-Limba,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba
Tibhar,Stratus Power Wood,5,85,6.0,Limba-Limba-Ayous-Limba-Limba,Limba,Limba,Ayous,Limba,Limba,,
Tibhar,Samsonov Alpha (new 2012),5,85,5.9,Limba-Meranti-Ayous-Meranti-Limba,Limba,Meranti,Ayous,Meranti,Limba,,
Tibhar,IV L,4,90,7.4,Ayous-Ayous-Ayous-Ayous,Ayous,Ayous,Ayous,Ayous,,,
Tibhar,IV L Balsa,6,70,7.0,Ayous-Okoumé-Balsa-Balsa-Okoumé-Ayous,Ayous,Okoumé,Balsa,Balsa,Okoumé,Ayous,
Tibhar,IV S,5,90,6.8,Ayous-Ayous-Ayous-Ayous-Ayous,Ayous,Ayous,Ayous,Ayous,Ayous,,
Tibhar,Drinkhall Power Spin Carbon,7,88,5.6,Koto-ALC-Ayous-Kiri-Ayous-ALC-Koto,Koto,ALC,Ayous,Kiri,Ayous,ALC,Koto
Tibhar,Marcos Freitas,7,84,6.0,Limba-ALC-Ayous-Kiri-Ayous-ALC-Limba,Limba,ALC,Ayous,Kiri,Ayous,ALC,Limba
Tibhar,Zodiac Libra ZAC,7,85,6.0,Limba-Ayous-ZAC-Ayous-ZAC-Ayous-Limba,Limba,Ayous,ZAC,Ayous,ZAC,Ayous,Limba
Tibhar,Lebesson,5,85,5.7,Limba-Acajou-Ayous-Acajou-Limba,Limba,Acajou,Ayous,Acajou,Limba,,
Tibhar,Stratus Power Defense,5,84,5.3,Robinier-Limba-Ayous-Limba-Robinier,Robinier,Limba,Ayous,Limba,Robinier,,
Tibhar,Ikarus ALX,9,85,6.5,Ayous-Ayous-Ayous-Texalium™-Kiri-Texalium™-Ayous,Ayous,Ayous,Ayous,Texalium™,Kiri,Texalium™,Ayous
Andro,Gauzy SL,7,91,6.1,Ebène-Limba-Ayous-Samba rouge-Ayous-Limba-Ebène,Ebène,Limba,Ayous,Samba rouge,Ayous,Limba,Ebène
Andro,Treiber CI OFF,7,90,6.1,Limba-Ayous-Carbone Kevlar™-Kiri-Carbone Kevlar™-Ayous-Limba,Limba,Ayous,Carbone Kevlar™,Kiri,Carbone Kevlar™,Ayous,Limba
Andro,Treiber K,7,90,0,Koto-Carbone Kevlar™-Ayous-Kiri-Ayous-Carbone Kevlar™-Koto,Koto,Carbone Kevlar™,Ayous,Kiri,Ayous,Carbone Kevlar™,Koto
Andro,Treiber Z,7,88,0,Hinoki-ZLF-Koto-Ayous-Koto-ZLF-Hinoki,Hinoki,ZLF,Koto,Ayous,Koto,ZLF,Hinoki
Andro,Kinetic Supreme OFF-,7,85,0,Hinoki-ZLC-Ayous-Kiri-Ayous-ZLC-Hinoki,Hinoki,ZLC,Ayous,Kiri,Ayous,ZLC,Hinoki
Andro,Ligna OFF,7,85,6.4,Epicéa-Ayous-Carbone-Kiri-Carbone-Ayous-Epicéa,Epicéa,Ayous,Carbone,Kiri,Carbone,Ayous,Epicéa
Andro,Core 7 OFF+,7,88,6.8,Limba-Ayous-Ayous-Ayous-Ayous-Ayous-Limba,Limba,Ayous,Ayous,Ayous,Ayous,Ayous,Limba
Andro,Novacell OFF,5,85,5.7,Limba-Limba-Ayous-Limba-Limba,Limba,Limba,Ayous,Limba,Limba,,
Andro,Timber 5 OFF,5,85,6.3,Limba-Ayous-Kiri-Ayous-Limba,Limba,Ayous,Kiri,Ayous,Limba,,
