Name;Speed;Control
Yinhe 970XX K;8.8;9.2
Yinhe 977;10;10
Yinhe 977S;-;-
Yinhe 980;6.8;9.3
Yinhe 980 XX;5;9
Yinhe 981;9.6;7.3
Yinhe 982;10;10
Yinhe 983;9.4;6.1
Yinhe 984;-;-
Yinhe 985;8.9;8.8
Yinhe 986;9.3;8.6
Yinhe 987;9.5;8.4
Yinhe 988;9.3;8.7
Yinhe 989;9.3;8.3
Yinhe 991;-;-
Yinhe 992 Three Carbon;-;-
Yinhe Balsa 10;-;-
Yinhe Balsa 6;4.9;9.6
Yinhe Balsa 7;6.4;9.5
Yinhe Balsa 8;8.4;9.3
Yinhe Balsa 9;9.2;9.4
Yinhe Balsa DEF 10;-;-
Yinhe Bogen;7.5;9
Yinhe Cannon Carbon Tech;9.5;6
Yinhe Carbokev K-1;-;-
Yinhe Carbokev K-2;8.5;8
Yinhe Carbokev K-3;7;8
Yinhe Carbokev K-4;8.4;8.8
Yinhe Carbokev K-5;9.1;7.1
Yinhe Carbokev K-6;9.1;8.1
Yinhe CN.1 Children Carbon;6.3;9.3
Yinhe CN.2;7.2;8
Yinhe DE-1;6;9.5
Yinhe Def 5;4.3;9.2
Yinhe DEF-11;7;9
Yinhe DK 4-ALC;9;9.5
Yinhe DL-1 Woven Carbon;-;-
Yinhe DL-3 Uniaxial Carbon;-;-
Yinhe Earth E-1;8.5;8.6
Yinhe Earth E-1 VB;7.8;9
Yinhe Earth E-2;-;-
Yinhe Earth E-3;8.2;9.1
Yinhe Earth E-3 VB;8;8.9
Yinhe Earth E-4;8.3;8.5
Yinhe Earth E-5;-;-
Yinhe EC-11;8;6
Yinhe EC-12;8.9;7.2
Yinhe EC-13;9.5;7.1
Yinhe EC-14;9.3;8.9
Yinhe Galaxy T2s;9.1;9
Yinhe Hinoki 200 Year;-;-
Yinhe Hinoki 260 Year;-;-
Yinhe Hinoki 3A;8;8
Yinhe Hinoki 5A;10;10
Yinhe Huichuan;7;8.5
Yinhe Huichuan 606;9;7
Yinhe J-1;7.9;8.9
Yinhe Kiso Hinoki V;8.4;9
Yinhe Kiso Hinoki VII;9;9.5
Yinhe Lanze;6.5;9.5
Yinhe LQ-1;6.9;8
Yinhe LQ-2;6.7;8.3
Yinhe M-1;-;-
Yinhe M-2;-;-
Yinhe M-3;10;10
Yinhe M-4;8;9
Yinhe M-5;-;-
Yinhe M-6;7.5;7.9
Yinhe M101;9.7;9.2
Yinhe M102;9.4;8.2
Yinhe M201;8.7;9.4
Yinhe M202;9.2;9
Yinhe Max 01 PLC;9.5;8.5
